,Un misil en mi placard,Te hacen falta vitaminas,Mi novia tiene biceps,Trátame suavemente,Disco Eterno,Ni un segundo,Afrodisíacos,Dietético,El tiempo es dinero,Por qué no puedo ser del jet set?,Cuando pase el temblor,Nada personal,Juegos de seducción,Imágenes retro,Danza rota,Estoy azulado,Observándonos,Ecos,Si no fuera por,Sin sobresaltos,En camino,Final caja negra,Prófugos,Persiana americana,Signos,El rito,No existes,Día común,En la ciudad de la furia,Lo que sangra,Corazón delator,Sobredosis de TV,En el borde,Picnic en el 4to B,El ritmo de tus ojos,Terapia de amor intensiva,Los languidecientes
Cuando pase el temblor,0.93696755,0.9382251,0.9461448,0.92110765,0.9000821,0.908611,0.9121332,0.9162405,0.9237246,0.9453191,0.99999934,0.848019,0.9407447,0.9239266,0.91632247,0.95546895,0.924674,0.9391118,0.942682,0.93858224,0.94892454,0.9052248,0.93623286,0.91585565,0.941555,0.9342018,0.91161233,0.9198553,0.9180871,0.9330856,0.94343853,0.88235486,0.9435806,0.91796553,0.9402325,0.886384,0.9176032
Nada personal,0.778732,0.82728064,0.8195344,0.79395145,0.84834146,0.9067405,0.85714704,0.8504946,0.8737498,0.86261785,0.848019,1.0,0.8383403,0.8168126,0.84118724,0.8722834,0.9062814,0.83665013,0.8614719,0.88184613,0.8677601,0.8757725,0.85056883,0.85977125,0.8444454,0.8400795,0.8961914,0.81673,0.8951444,0.88306314,0.85307616,0.8605735,0.8818491,0.87387437,0.8396756,0.8863632,0.8635534
Juegos de seducción,0.959429,0.9384986,0.97134006,0.9539541,0.8998021,0.88991857,0.9157443,0.9098113,0.91170067,0.938371,0.9407447,0.8383403,0.99999976,0.92915905,0.90929765,0.9359757,0.93675697,0.9283469,0.96158737,0.934177,0.9299854,0.88608944,0.928307,0.8885284,0.944195,0.9386688,0.91186523,0.9475267,0.91616344,0.9174707,0.96267307,0.8853317,0.92540085,0.88671523,0.90633786,0.91004705,0.8631962
Imágenes retro,0.93958265,0.9200711,0.9261493,0.8874445,0.9272236,0.86927444,0.9103092,0.9007601,0.8699371,0.9176378,0.9239266,0.8168126,0.92915905,0.9999997,0.9014542,0.93113756,0.9027461,0.9207738,0.91721004,0.90225923,0.915438,0.8874045,0.8879865,0.9071871,0.9138757,0.9178248,0.8979701,0.90995026,0.88509953,0.8705337,0.92872024,0.86104554,0.9147982,0.8949611,0.91932803,0.85446525,0.8516385
Danza rota,0.8997835,0.8961657,0.9052135,0.898168,0.9055092,0.8732117,0.89018816,0.89995646,0.8783965,0.9061809,0.91632247,0.84118724,0.90929765,0.9014542,0.9999999,0.9161589,0.89847153,0.9053479,0.903115,0.8967104,0.9019568,0.89731413,0.883263,0.8976999,0.8925981,0.91028523,0.89101964,0.8923201,0.8990421,0.8939511,0.916081,0.8485847,0.9047116,0.87864304,0.90716624,0.8791479,0.86231565
Estoy azulado,0.93179595,0.9259581,0.929806,0.933276,0.91245186,0.9141763,0.91496795,0.9239812,0.91537225,0.9654957,0.95546895,0.8722834,0.9359757,0.93113756,0.9161589,1.0,0.94262654,0.9188132,0.94314605,0.92955786,0.9436045,0.9169764,0.9566265,0.9456769,0.9528682,0.93804884,0.9110853,0.9250985,0.93253267,0.9502933,0.93812585,0.88936293,0.951691,0.94085056,0.9345858,0.9102137,0.90920746
Observándonos,0.9114185,0.9097971,0.9209281,0.91566986,0.9000598,0.92733586,0.9115782,0.90536606,0.930974,0.9338315,0.924674,0.9062814,0.93675697,0.9027461,0.89847153,0.94262654,0.99999994,0.913395,0.9359708,0.9367783,0.93460846,0.92606986,0.9463633,0.9171746,0.92379177,0.9221815,0.9235421,0.92063355,0.94311213,0.9377684,0.94427913,0.90179527,0.933175,0.9193351,0.90482485,0.91818595,0.9096474
Ecos,0.91531456,0.938671,0.9212384,0.88539433,0.9038621,0.89712113,0.94924,0.92600167,0.8891937,0.9034575,0.9391118,0.83665013,0.9283469,0.9207738,0.9053479,0.9188132,0.913395,1.0,0.92934376,0.9435997,0.91986775,0.8956125,0.9079077,0.88801485,0.92949814,0.9090203,0.9258105,0.8857491,0.90863866,0.898937,0.9311848,0.8905539,0.91528744,0.8998773,0.9209876,0.8563271,0.9016756
Si no fuera por,0.93914413,0.934067,0.9522487,0.94034487,0.89246535,0.9020989,0.90142214,0.9085686,0.92400914,0.94585913,0.942682,0.8614719,0.96158737,0.91721004,0.903115,0.94314605,0.9359708,0.92934376,0.99999964,0.931572,0.94258446,0.8954946,0.93569785,0.9217266,0.93913627,0.92900795,0.9148192,0.9214386,0.93627554,0.93797195,0.94089645,0.890974,0.94653946,0.8976584,0.92560136,0.9019405,0.8866967
Sin sobresaltos,0.89930904,0.94191426,0.93057257,0.89854187,0.89571124,0.91265863,0.93107975,0.9145337,0.92290175,0.9057001,0.93858224,0.88184613,0.934177,0.90225923,0.8967104,0.92955786,0.9367783,0.9435997,0.931572,0.99999976,0.92606163,0.90682846,0.92785704,0.89981467,0.91988283,0.9130163,0.93983525,0.9058934,0.93914944,0.9207127,0.9244173,0.8939801,0.9227912,0.9067218,0.90501356,0.8883589,0.9194119
En camino,0.928108,0.9318529,0.92601943,0.8943602,0.9065462,0.9343533,0.9123871,0.9312235,0.93522507,0.94231236,0.94892454,0.8677601,0.9299854,0.915438,0.9019568,0.9436045,0.93460846,0.91986775,0.94258446,0.92606163,1.0000004,0.8966961,0.93042874,0.914785,0.9394484,0.937724,0.91621,0.91139054,0.9249311,0.9353072,0.9468826,0.88182116,0.95982,0.91081893,0.94343644,0.90454537,0.8912135
Final caja negra,0.8830428,0.89624393,0.8780395,0.8847865,0.87832093,0.88910496,0.907689,0.89059365,0.88434124,0.91150856,0.9052248,0.8757725,0.88608944,0.8874045,0.89731413,0.9169764,0.92606986,0.8956125,0.8954946,0.90682846,0.8966961,1.0000001,0.90883005,0.9216799,0.8926604,0.88658226,0.9029224,0.8642306,0.9209682,0.90824807,0.9081717,0.88905984,0.9243652,0.90190834,0.884704,0.8661122,0.90405536
Prófugos,0.9165788,0.91293675,0.92739236,0.93811655,0.8709556,0.8942707,0.9052894,0.89192104,0.9131038,0.9431732,0.93623286,0.85056883,0.928307,0.8879865,0.883263,0.9566265,0.9463633,0.9079077,0.93569785,0.92785704,0.93042874,0.90883005,1.0,0.92424875,0.9259738,0.91308206,0.8962851,0.91663605,0.94868684,0.9368534,0.9147578,0.8726783,0.92948943,0.94094783,0.90012664,0.88438207,0.9234217
Persiana americana,0.88799685,0.89335304,0.8745814,0.9025679,0.884527,0.87189716,0.88849413,0.8789674,0.87830585,0.9240022,0.91585565,0.85977125,0.8885284,0.9071871,0.8976999,0.9456769,0.9171746,0.88801485,0.9217266,0.89981467,0.914785,0.9216799,0.92424875,0.9999998,0.9026089,0.8981363,0.9011721,0.8701737,0.92242944,0.93026525,0.89628726,0.8714075,0.93340933,0.91981286,0.9248713,0.87227887,0.90555793
